Type,H,B,T1,T2,R,SectionalArea,TheoreticalWeight
HW100*100,100,100,6,8,8,2158,16.9
HW125*125,125,125,6.5,9,8,3000,23.6
HW150*150,150,150,7,10,8,3964,31.1
HW175*175,175,175,7.5,11,13,5142,40.4
HW200*200,200,200,8,12,13,6353,49.9
HW250*250,250,250,9,14,13,9143,71.8
HW300*300,300,300,10,15,13,11850,93
HW350*350,350,350,12,19,13,17190,135
HW400*400,400,400,13,21,22,21870,172
HW500*500,502,470,20,25,22,32960,259
HM150*100,148,100,6,9,8,2634,20.7
HM200*150,194,150,6,9,8,3810,29.9
HM250*175,244,175,7,11,13,5549,43.6
HM300*200,294,200,8,12,13,7105,55.8
HM350*250,340,250,9,14,13,9953,78.1
HM400*300,390,300,10,16,13,13330,105
HM450*300,440,300,11,18,13,15390,121
HM500*300,488,300,11,18,13,15920,125
HM600*300,588,300,12,20,13,18720,147
HN150*75,150,75,5,7,8,1784,14
HN175*90,175,90,5,8,8,2289,18
HN200*100,200,100,5.5,8,8,2666,20.9
HN250*125,250,125,6,9,8,3696,29
HN300*150,300,150,6.5,9,13,4678,36.7
HN350*175,350,175,7,11,13,6291,49.4
HN400*150,400,150,8,13,13,7037,55.2
HN400*200,400,200,8,13,13,8337,65.4
HN450*150,450,151,8,14,13,7749,60.8
HN450*200,450,200,9,14,13,9543,74.9
HN475*150,482,153.5,10.5,19,13,10640,83.5
HN500*150,504,153,10,18,13,10330,81.1
HN500*200,500,200,10,16,13,11230,88.1
HN550*200,550,200,10,16,13,11730,92
HN600*200,600,200,11,17,13,13170,103
HN625*200,630,200,15,20,13,17000,133
HN700*300,700,300,13,24,18,23150,182
HN800*300,800,300,14,26,18,26350,207
HN900*300,900,300,16,28,18,30580,240
HT100*50a,95,48,3.2,4.5,8,762,5.98
HT100*50b,97,49,4,5.5,8,937,7.36
HT100*100,96,99,4.5,6,8,1620,12.7
HT125*60a,118,58,3.2,4.5,8,925,7.26
HT125*60b,120,59,4,5.5,8,1139,8.94
HT125*125,119,123,4.5,6,8,2012,15.8
HT150*75a,145,73,3.2,4.5,8,1147,9
HT150*75b,147,74,4,5.5,8,1412,11.1
HT150*100a,139,97,3.2,4.5,8,1343,10.6
HT150*100b,142,99,4.5,6,8,1827,14.3
HT150*150a,144,148,5,7,8,2776,21.8
HT150*150b,147,149,6,8.5,8,3367,26.4
HT175*90a,168,88,3.2,4.5,8,1355,10.6
HT175*90b,171,89,4,6,8,1758,13.8
HT175*175a,167,173,5,7,13,3332,26.2
HT175*175b,172,175,6.5,9.5,13,4464,35
HT200*100a,193,98,3.2,4.5,8,1525,12
HT200*100b,196,99,4,6,8,1978,15.5
HT200*150,188,149,4.5,6,8,2634,20.7
HT200*200,192,198,6,8,13,4369,34.3
HT250*125,244,124,4.5,6,8,2586,20.3
HT250*175,238,173,4.5,8,13,3912,30.7
HT300*150,294,148,4.5,6,13,3190,25
HT300*200,286,198,6,8,13,4933,38.7
HT350*175,340,173,4.5,6,13,3697,29
HT400*150,390,148,6,8,13,4757,37.3
HT400*200,390,198,6,8,13,5557,43.6
