Type,h,b,d,t,r,r1,SectionalArea,TheoreticalWeight,Ix,Iy,ix,iy,Wx,Wy
10,100,68,4.5,7.6,6.5,3.3,1434.5,11.261,2450000,330000,41.4,15.2,49000,9720
12,120,74,5,8.4,7,3.5,1781.8,13.987,4360000,469000,49.5,16.2,72700,12700
12.6,126,74,5,8.4,7,3.5,1811.8,14.223,4880000,469000,52,16.1,77500,12700
14,140,80,5.5,9.1,7.5,3.8,2151.6,16.89,7120000,644000,57.6,17.3,102000,16100
16,160,88,6,9.9,8,4,2613.1,20.513,11300000,931000,65.8,18.9,141000,21200
18,180,94,6.5,10.7,8.5,4.3,3075.6,24.143,16600000,1220000,73.6,20,185000,26000
20a,200,100,7,11.4,9,4.5,3557.8,27.929,23700000,1580000,81.5,21.2,237000,31500
20b,200,102,9,11.4,9,4.5,3957.8,31.069,25000000,1690000,79.6,20.6,250000,33100
22a,220,110,7.5,12.3,9.5,4.8,4212.8,33.07,34000000,2250000,89.9,23.1,309000,40900
22b,220,112,9.5,12.3,9.5,4.8,4652.8,36.524,35700000,2390000,87.8,22.7,325000,42700
24a,240,116,8,13,10,5,4774.1,37.477,45700000,2800000,97.7,24.2,381000,48400
24b,240,118,10,13,10,5,5254.1,41.245,48000000,2970000,95.7,23.8,400000,50400
25a,250,116,8,13,10,5,4854.1,38.105,50200000,2800000,102,24,402000,48300
25b,250,118,10,13,10,5,5354.1,42.03,52800000,3090000,99.4,24,423000,52400
27a,270,122,8.5,13.7,10.5,5.3,5455.4,42.825,65500000,3450000,109,25.1,485000,56600
27b,270,124,10.5,13.7,10.5,5.3,5995.4,47.064,68700000,3660000,107,24.7,509000,58900
28a,280,122,8.5,13.7,10.5,5.3,5540.4,43.492,71100000,3450000,113,25,508000,56600
28b,280,124,10.5,13.7,10.5,5.3,6100.4,47.888,74800000,3790000,111,24.9,534000,61200
30a,300,126,9,14.4,11,5.5,6125.4,48.084,89500000,4000000,121,25.5,597000,63500
30b,300,128,11,14.4,11,5.5,6725.4,52.794,94000000,4220000,118,25,627000,65900
30c,300,130,13,14.4,11,5.5,7325.4,57.504,98500000,4450000,116,24.6,657000,68500
32a,320,130,9.5,15,11.5,5.8,6715.6,52.717,111000000,4600000,128,26.2,692000,70800
32b,320,132,11.5,15,11.5,5.8,7355.6,57.741,116000000,5020000,126,26.1,726000,76000
32c,320,134,13.5,15,11.5,5.8,7995.6,62.765,122000000,5440000,123,26.1,760000,81200
36a,360,136,10,15.8,12,6,7648,60.037,158000000,5520000,144,26.9,875000,81200
36b,360,138,12,15.8,12,6,8368,65.689,165000000,5820000,141,26.4,919000,84300
36c,360,140,14,15.8,12,6,9088,71.341,173000000,6120000,138,26,962000,87400
40a,400,142,10.5,16.5,12.5,6.3,8611.2,67.598,217000000,6600000,159,27.7,1090000,93200
40b,400,144,12.5,16.5,12.5,6.3,9411.2,73.878,228000000,6920000,156,27.1,1140000,96200
40c,400,146,14.5,16.5,12.5,6.3,10211.2,80.158,239000000,7270000,152,26.5,1190000,99600
45a,450,150,11.5,18,13.5,6.8,10244.6,80.42,222000000,8550000,177,28.9,1430000,114000
45b,450,152,13.5,18,13.5,6.8,11144.6,87.485,338000000,8940000,174,28.4,1500000,118000
45c,450,154,15.5,18,13.5,6.8,12044.6,94.55,353000000,9380000,171,27.9,1570000,122000
50a,500,158,12,20,14,7,11930.4,93.654,465000000,11200000,197,30.7,1860000,142000
50b,500,160,14,20,14,7,12930.4,101.504,486000000,11700000,194,30.1,1940000,146000
50c,500,162,16,20,14,7,13930.4,109.354,506000000,12200000,190,29.6,2080000,151000
55a,550,166,12.5,21,14.5,7.3,13418.5,105.335,629000000,13700000,216,31.9,2290000,164000
55b,550,168,14.5,21,14.5,7.3,14518.5,113.97,656000000,14200000,212,31.4,2390000,170000
55c,550,170,16.5,21,14.5,7.3,15618.5,122.605,684000000,14800000,209,30.8,2490000,175000
56a,560,166,12.5,21,14.5,7.3,13543.5,106.316,656000000,13700000,220,31.8,2340000,165000
56b,560,168,14.5,21,14.5,7.3,14663.5,115.108,685000000,14900000,216,31.6,2450000,174000
56c,560,170,16.5,21,14.5,7.3,15783.5,123.9,714000000,15600000,213,31.6,2550000,183000
63a,630,176,13,22,15,7.5,15465.8,121.407,939000000,17000000,245,33.1,2980000,193000
63b,630,178,15,22,15,7.5,16725.8,131.298,981000000,18100000,242,32.9,3160000,204000
63c,630,180,17,22,15,7.5,17985.8,141.189,1020000000,19200000,238,32.7,3300000,214000
